txn_id,market,shop_id,shop_subdivision,local_timestamp,amount,currency,payment_method,payment_ref,fiscal_seq
JPN-0771-000004,JPN,0771,JP-13,2026-05-20 13:13:00,4800,JPY,CARD,XZTKD82JPRZHJ2CC,
USA-0467-000025,USA,0467,US-WA,2026-10-19 14:27:00,10.75,USD,CARD,H4C6VY6X5R6MC1KV,
NZL-0931-000013,NZL,0931,NZ-WGN,2026-05-18 15:08:00,58.48,NZD,CARD,D35WABJRA5GM3F6B,
FRA-1204-000040,FRA,1204,FR-75,2026-07-12 10:34:00,70.22,EUR,CARD,PNM8KPYDV2WNKGFR,44178
USA-0467-000027,USA,0467,US-WA,2026-01-28 15:58:00,23.33,USD,CARD,ZXXYNUEC6A14UUQG,
GBR-0442-000034,GBR,0442,GB-SCT,2026-10-01 15:53:00,64.53,GBP,CARD,9RHEF6MS1T81T2PC,
FRA-1204-000038,FRA,1204,FR-75,2026-05-01 17:47:00,56.56,EUR,CARD,4T89MLN729G8PGFY,44175
FRA-1204-000022,FRA,1204,FR-75,2026-07-24 17:57:00,52.96,EUR,CARD,8PUHN2144NPKX1ZQ,44180
DEU-1547-000046,DEU,1547,DE-HH,2026-12-14 10:10:00,63.54,EUR,CARD,LZFM16RZMN99JPDG,73911
USA-0455-000012,USA,0455,US-CA,2026-04-16 13:08:00,51.35,USD,CASH,,
FRA-1204-000030,FRA,1204,FR-75,2026-04-18 09:57:00,81.32,EUR,CARD,H8RM32CYZA2UPDLK,44172
DEU-1533-000019,DEU,1533,DE-BE,2026-06-25 17:35:00,8.85,EUR,CARD,Q9A4MJVSQA5BKHFQ,60417
DEU-1533-000012,DEU,1533,DE-BE,2026-09-08 15:23:00,65.45,EUR,CARD,GGW6DRGND662WP54,60424
USA-0113-000022,USA,0113,US-NY,2026-01-23 17:25:00,73.65,USD,CARD,DLAUTLC7J9XPNUHT,
GBR-0203-000003,GBR,0203,GB-ENG,2026-10-24 11:40:00,69.37,GBP,CASH,,
DEU-1501-000001,DEU,1501,DE-BY,2026-06-03 12:15:00,107.03,EUR,CASH,,88328
FRA-1204-000039,FRA,1204,FR-75,2026-12-23 10:15:00,39.82,EUR,CARD,FYRGANKXR08TEESW,44191
JPN-0771-000001,JPN,0771,JP-13,2026-03-28 13:14:00,6500,JPY,CARD,732YCYCL56GEXMN3,
FRA-1288-000042,FRA,1288,FR-69,2026-05-11 14:57:00,72.42,EUR,CARD,0D4ZB9F8QYMF16LE,21057
